"Freak Factor"	"Freaky Stat"	"Curve Label"	"Curve Conductor"	"Level"	"Norm"	"Discriminant"	"Newform"	"Polynomial"	
"Lowest level potentially non-elliptic representation"	"Level 109"	"None found"	"none"	109	7	49	"(a1, -a1 - 2, -2*a1^2 - 3*a1, 3*a1^2 + 5*a1 - 3, a1^2 + 2*a1 - 5, -2*a1^2 - a1 + 3)"	"x^3 + 2*x^2 - x - 1"	
"Highest Conductor/Level ratio"	"Ratio 354"	"118590d1"	118590	335	7	8	"(a1, -a1, -1, -2, a1, -2)"	"x^2 - 2"	
"Lowest Conductor/Level ratio"	"Ratio 1/44"	"11a1"	11	484	2	33	"(0, -1/2*a3, 1/2*a3 + 2, 0, 0, 0)"	"x^2 + 2*x - 32"	
"Highest Conductor for norm 2"	"Conductor 1676"	"1676a1"	1676	419	2	6.91E+057	"(a1, 11600552657805477/618506107859120384*a1^25 - 1445919658165295/309253053929560192*a1^24 - 489898657622267755/618506107859120384*a1^23 + 107914954606597717/618506107859120384*a1^22 + 8985089110311196755/618506107859120384*a1^21 - 1677761853489598063/618506107859120384*a1^20 - 93908850339439447893/618506107859120384*a1^19 + 13918818822044869947/618506107859120384*a1^18 + 308521474664772454481/309253053929560192*a1^17 - 64913077960712591713/618506107859120384*a1^16 - 2653463884228242370997/618506107859120384*a1^15 + 158054791007502082829/618506107859120384*a1^14 + 7542124894930787266803/618506107859120384*a1^13 - 114826826055616751971/618506107859120384*a1^12 - 13997662661670064334423/618506107859120384*a1^11 - 303774076907980503369/618506107859120384*a1^10 + 16402726266989189697963/618506107859120384*a1^9 + 721388016885671188593/618506107859120384*a1^8 - 2858156076211631583195/154626526964780096*a1^7 - 131421687286070081665/154626526964780096*a1^6 + 133526089632281764867/19328315870597512*a1^5 + 3114222442535169313/19328315870597512*a1^4 - 5479963010523513969/4832078967649378*a1^3 + 347436269895930943/9664157935298756*a1^2 + 115195871402394161/2416039483824689*a1 - 9403602456845085/2416039483824689, -15339110851698681/618506107859120384*a1^25 + 1659882976959243/154626526964780096*a1^24 + 647804819296844439/618506107859120384*a1^23 - 261094882733415019/618506107859120384*a1^22 - 11883707853507702469/618506107859120384*a1^21 + 4379051822405265577/618506107859120384*a1^20 + 124269331201630752739/618506107859120384*a1^19 - 40851748330058436361/618506107859120384*a1^18 - 204353554500038141865/154626526964780096*a1^17 + 232298733292163357085/618506107859120384*a1^16 + 3522271328534996747539/618506107859120384*a1^15 - 833773198676597351211/618506107859120384*a1^14 - 10047619638821988328637/618506107859120384*a1^13 + 1911697358637588946733/618506107859120384*a1^12 + 18759839398286226300949/618506107859120384*a1^11 - 2833518240599129473281/618506107859120384*a1^10 - 22190495513779505976209/618506107859120384*a1^9 + 2802903817103605614913/618506107859120384*a1^8 + 7838747736618934727003/309253053929560192*a1^7 - 7422528181590734491/2416039483824689*a1^6 - 745747450776653745449/77313263482390048*a1^5 + 51094395904343293019/38656631741195024*a1^4 + 31404172083373982729/19328315870597512*a1^3 - 2622227156419926079/9664157935298756*a1^2 - 358926392933727053/4832078967649378*a1 + 23150340870738341/2416039483824689, -8863839496337407/309253053929560192*a1^25 - 891227784723507/38656631741195024*a1^24 + 385167517531066755/309253053929560192*a1^23 + 296011659624924835/309253053929560192*a1^22 - 7296357727589355205/309253053929560192*a1^21 - 5316969070158088675/309253053929560192*a1^20 + 79079629987114027495/309253053929560192*a1^19 + 54137797970389542119/309253053929560192*a1^18 - 270475397670112461457/154626526964780096*a1^17 - 343712030514259712015/309253053929560192*a1^16 + 2430211827232656201389/309253053929560192*a1^15 + 1408518450537328044749/309253053929560192*a1^14 - 7233604422337648843241/309253053929560192*a1^13 - 3723633221392188900391/309253053929560192*a1^12 + 14065380090305185317589/309253053929560192*a1^11 + 6154287517520404208367/309253053929560192*a1^10 - 17214441168598886170513/309253053929560192*a1^9 - 5932646140944618265895/309253053929560192*a1^8 + 3097908679538199990775/77313263482390048*a1^7 + 1463080099193828555373/154626526964780096*a1^6 - 580251204341804069003/38656631741195024*a1^5 - 67739723955687955103/38656631741195024*a1^4 + 45087263596456571019/19328315870597512*a1^3 - 420740139153670539/9664157935298756*a1^2 - 422904240001996079/4832078967649378*a1 + 20162886288801526/2416039483824689, 2624951423839507/309253053929560192*a1^25 + 864714761109041/77313263482390048*a1^24 - 115190386680000141/309253053929560192*a1^23 - 141931181194005311/309253053929560192*a1^22 + 2206926087781757503/309253053929560192*a1^21 + 2515920062426191125/309253053929560192*a1^20 - 24231593512952764345/309253053929560192*a1^19 - 25245059275215458725/309253053929560192*a1^18 + 42057341458042821857/77313263482390048*a1^17 + 157823923829239306385/309253053929560192*a1^16 - 768596413957611044153/309253053929560192*a1^15 - 637436787342126079951/309253053929560192*a1^14 + 2332253342452014421831/309253053929560192*a1^13 + 1668307758579552752553/309253053929560192*a1^12 - 4638386215069439223647/309253053929560192*a1^11 - 2761098638629791825261/309253053929560192*a1^10 + 5836044142774413189363/309253053929560192*a1^9 + 2733789611335979463661/309253053929560192*a1^8 - 2179139808976009405541/154626526964780096*a1^7 - 11464838695214791855/2416039483824689*a1^6 + 216225308932095586355/38656631741195024*a1^5 + 22175334591203582665/19328315870597512*a1^4 - 2384269020723186934/2416039483824689*a1^3 - 168604006548282602/2416039483824689*a1^2 + 144988979787663183/2416039483824689*a1 + 2533241512306150/2416039483824689, 18286899019576087/618506107859120384*a1^25 - 5894344397986029/309253053929560192*a1^24 - 766111264106621881/618506107859120384*a1^23 + 471168870486082791/618506107859120384*a1^22 + 13922639055892491201/618506107859120384*a1^21 - 8069778480182433605/618506107859120384*a1^20 - 144001763638989605479/618506107859120384*a1^19 + 77397866044694049257/618506107859120384*a1^18 + 467579448862133101323/309253053929560192*a1^17 - 456656313606355035067/618506107859120384*a1^16 - 3970050046577309300871/618506107859120384*a1^15 + 1719687671324427722719/618506107859120384*a1^14 + 11130371603133618637169/618506107859120384*a1^13 - 4174582169576353238401/618506107859120384*a1^12 - 20361915844234980816541/618506107859120384*a1^11 + 6503610407720369451005/618506107859120384*a1^10 + 23492863605680564906457/618506107859120384*a1^9 - 6410159455082569400069/618506107859120384*a1^8 - 4015981862327647639385/154626526964780096*a1^7 + 965970510415925839073/154626526964780096*a1^6 + 364245782918146239653/38656631741195024*a1^5 - 41070925522691941949/19328315870597512*a1^4 - 14040041850842425621/9664157935298756*a1^3 + 1609898669988803781/4832078967649378*a1^2 + 120809385477014950/2416039483824689*a1 - 20763481876800285/2416039483824689)"	"x^26 - 2*x^25 - 43*x^24 + 85*x^23 + 807*x^22 - 1571*x^21 - 8689*x^20 + 16575*x^19 + 59362*x^18 - 110217*x^17 - 268789*x^16 + 481513*x^15 + 817911*x^14 - 1398615*x^13 - 1658267*x^12 + 2674771*x^11 + 2166607*x^10 - 3262315*x^9 - 1701132*x^8 + 2384864*x^7 + 697992*x^6 - 932912*x^5 - 104448*x^4 + 158080*x^3 - 4736*x^2 - 6656*x + 512"	
"Highest Conductor for norm 3"	"Conductor 2891"	"2891a1"	2891	413	3	36497	"(a2, -a2^3 - a2^2 + 3*a2, a2^4 + 2*a2^3 - 3*a2^2 - 5*a2 + 1, -1, a2^4 + a2^3 - 4*a2^2 - 3*a2, a2^4 + 3*a2^3 - 2*a2^2 - 6*a2)"	"x^5 + 2*x^4 - 3*x^3 - 5*x^2 + x + 1"	
"Highest Conductor for norm 5"	"Conductor 35925"	"35925d1"	35925	479	5	2.04E+075	"(a1, 198216323844251155370812651657245291351085/43299557505812608642127324159129260658424597*a1^31 - 527262018744456168734627495094057571874963/43299557505812608642127324159129260658424597*a1^30 - 3269267463167206600310449986015992717825570/14433185835270869547375774719709753552808199*a1^29 + 8783363560610536742028210191722332009985185/14433185835270869547375774719709753552808199*a1^28 + 72091107727010571986545768059200666397634880/14433185835270869547375774719709753552808199*a1^27 - 587966872710785340988011333191219676859029709/43299557505812608642127324159129260658424597*a1^26 - 2805844440959715393074370919286238285532116680/43299557505812608642127324159129260658424597*a1^25 + 2579161786528929541900780471924131834172738430/14433185835270869547375774719709753552808199*a1^24 + 23816987858008910674483034048442953850952305932/43299557505812608642127324159129260658424597*a1^23 - 22277273870417024894032348722193938899166420864/14433185835270869547375774719709753552808199*a1^22 - 139162963789461877968722828140235278673826868144/43299557505812608642127324159129260658424597*a1^21 + 133022822400443175458594516614799155555698262280/14433185835270869547375774719709753552808199*a1^20 + 191084057474817690746269884408910209228491025073/14433185835270869547375774719709753552808199*a1^19 - 1690313821945986202060056563943062654527136325272/43299557505812608642127324159129260658424597*a1^18 - 1675300167317306554031680458394364544234093411554/43299557505812608642127324159129260658424597*a1^17 + 1709188455820593808968118936859115191095190090116/14433185835270869547375774719709753552808199*a1^16 + 3440530934571211254091178069316038711273289730436/43299557505812608642127324159129260658424597*a1^15 - 11105287494581330555545676102793083259906831689048/43299557505812608642127324159129260658424597*a1^14 - 1606276840782546886349081037491926237454170640060/14433185835270869547375774719709753552808199*a1^13 + 5633528406338676725097678437464862622002145479428/14433185835270869547375774719709753552808199*a1^12 + 1433520523110252466932311539165352519320479879712/14433185835270869547375774719709753552808199*a1^11 - 17499814484748394560573090960305859169015160955176/43299557505812608642127324159129260658424597*a1^10 - 2042688125548113564476827378759912830779328433100/43299557505812608642127324159129260658424597*a1^9 + 11642930998220421297062796634836397882117642129352/43299557505812608642127324159129260658424597*a1^8 + 135346740834226068352835548425273242516987412332/43299557505812608642127324159129260658424597*a1^7 - 4492019503107973902340901087088674074117118754464/43299557505812608642127324159129260658424597*a1^6 + 281321144041777488669154718220283360147485155431/43299557505812608642127324159129260658424597*a1^5 + 825033826195771971670948843231884699322885943804/43299557505812608642127324159129260658424597*a1^4 - 79976725089771314707963267668186607363236517181/43299557505812608642127324159129260658424597*a1^3 - 49044793817257638525726055325200131097551387488/43299557505812608642127324159129260658424597*a1^2 + 2225578265922128883854147518353009301514501341/14433185835270869547375774719709753552808199*a1 - 34279945836513634598474685534464542183271984/43299557505812608642127324159129260658424597, 1030105604896516974940885442342379089765492/129898672517437825926381972477387781975273791*a1^31 - 3338000639463150696895674393852488296302298/129898672517437825926381972477387781975273791*a1^30 - 16809773598447233039514689841995334797159890/43299557505812608642127324159129260658424597*a1^29 + 18601988336250323542018533520937409372944528/14433185835270869547375774719709753552808199*a1^28 + 366016755552045253656234456644351984829577258/43299557505812608642127324159129260658424597*a1^27 - 3750686606524400969987598660826590583610644712/129898672517437825926381972477387781975273791*a1^26 - 14032365504015299710711177186834310656280776876/129898672517437825926381972477387781975273791*a1^25 + 16525545283604625610798580201763170349750942127/43299557505812608642127324159129260658424597*a1^24 + 116973049242727452048649425619293532752323463715/129898672517437825926381972477387781975273791*a1^23 - 143427041451667884702759290449416787851104673731/43299557505812608642127324159129260658424597*a1^22 - 668641510061650817104793525941426808819109264827/129898672517437825926381972477387781975273791*a1^21 + 286953501328688630584887835055266442917999699183/14433185835270869547375774719709753552808199*a1^20 + 893726182228643947546956659346157689341743137455/43299557505812608642127324159129260658424597*a1^19 - 10997779365948658490927696482207501028395154681617/129898672517437825926381972477387781975273791*a1^18 - 7575360009401530379828330698820606453620559620879/129898672517437825926381972477387781975273791*a1^17 + 11180624055833616018859413367516208414426907762434/43299557505812608642127324159129260658424597*a1^16 + 14883032656579732150049775217028269497541680049933/129898672517437825926381972477387781975273791*a1^15 - 73017443321641907979369233529520666070507300508769/129898672517437825926381972477387781975273791*a1^14 - 6519775656747916934640235041114948744499123300301/43299557505812608642127324159129260658424597*a1^13 + 37206215526891906348146795529043566203451820514101/43299557505812608642127324159129260658424597*a1^12 + 1735172592377708019501731657505782679094080082709/14433185835270869547375774719709753552808199*a1^11 - 115964646863067456762011068730668892524304436220009/129898672517437825926381972477387781975273791*a1^10 - 5371010664578784005059237228169897864834237463640/129898672517437825926381972477387781975273791*a1^9 + 77286029066713307088989388520670730962035104264283/129898672517437825926381972477387781975273791*a1^8 - 1601787848097641684775938620818224565657311285681/129898672517437825926381972477387781975273791*a1^7 - 29795466629630781985081882843302958989415910209093/129898672517437825926381972477387781975273791*a1^6 + 1869294067690646598011248460941001048571044983943/129898672517437825926381972477387781975273791*a1^5 + 5432979658478713378478506089123610568263759019401/129898672517437825926381972477387781975273791*a1^4 - 396715575562450542816245018067676245145734487975/129898672517437825926381972477387781975273791*a1^3 - 305141344630307815215516650185743233364727682527/129898672517437825926381972477387781975273791*a1^2 + 12150931128699949156204049238578990519021388799/43299557505812608642127324159129260658424597*a1 - 123662975306465908677471551590750265568588037/129898672517437825926381972477387781975273791, 801259027329361249903787877108751888497997/129898672517437825926381972477387781975273791*a1^31 - 2212110193254191442802527666239733105916901/129898672517437825926381972477387781975273791*a1^30 - 12970720045678394069453118949143911515328065/43299557505812608642127324159129260658424597*a1^29 + 36436134352636601764594543534131482634829438/43299557505812608642127324159129260658424597*a1^28 + 93213621451489031359251406517446828205245966/14433185835270869547375774719709753552808199*a1^27 - 2407400330763162442595579841868396639326211612/129898672517437825926381972477387781975273791*a1^26 - 10588805793362244253541032310976507625896290234/129898672517437825926381972477387781975273791*a1^25 + 3467273086349245247737001332225491763864296239/14433185835270869547375774719709753552808199*a1^24 + 86886880376627200447687605316234650040507671377/129898672517437825926381972477387781975273791*a1^23 - 88289543788536278370398409674981041046796577937/43299557505812608642127324159129260658424597*a1^22 - 486608425792975444768795347514913448373766793757/129898672517437825926381972477387781975273791*a1^21 + 172233252284257683204843714963789444678332952137/14433185835270869547375774719709753552808199*a1^20 + 632958165862484390606455465330416477128849529745/43299557505812608642127324159129260658424597*a1^19 - 6415984060960419007288556905381262029055561200499/129898672517437825926381972477387781975273791*a1^18 - 5167404468041688881062643019244196132953086213461/129898672517437825926381972477387781975273791*a1^17 + 6319283769260186857951894765755212052506984806379/43299557505812608642127324159129260658424597*a1^16 + 9608999515095219701688777193349392605176163258875/129898672517437825926381972477387781975273791*a1^15 - 39854561477787729525402137329919501863095510200240/129898672517437825926381972477387781975273791*a1^14 - 1281722024160728080772415144573358230080849634649/14433185835270869547375774719709753552808199*a1^13 + 6517383581282194152177549224826182894317221981421/14433185835270869547375774719709753552808199*a1^12 + 2522247986302207801615315837860852594899899523116/43299557505812608642127324159129260658424597*a1^11 - 58514850555939360596044895634248498542612755411623/129898672517437825926381972477387781975273791*a1^10 - 600388715741708152656566734762718212390091573291/129898672517437825926381972477387781975273791*a1^9 + 37377480309128049725261550637212223571623128260045/129898672517437825926381972477387781975273791*a1^8 - 2848576115404549775316459164417928949081019662081/129898672517437825926381972477387781975273791*a1^7 - 13823819526421297117043941059239772280333274608604/129898672517437825926381972477387781975273791*a1^6 + 1852473852914895531094578031397640531934689841552/129898672517437825926381972477387781975273791*a1^5 + 2448147884104325259927377151077273906620910937614/129898672517437825926381972477387781975273791*a1^4 - 386656205343345219491166592482106050304815697577/129898672517437825926381972477387781975273791*a1^3 - 142586949470931281851176912019996895122419404519/129898672517437825926381972477387781975273791*a1^2 + 2918284631757737480939637442532637846869816863/14433185835270869547375774719709753552808199*a1 - 299607432643559930105134127554890294037485245/129898672517437825926381972477387781975273791, -956304044143028931596094345135445327497241/129898672517437825926381972477387781975273791*a1^31 + 2331245075463355755349987836841899595729424/129898672517437825926381972477387781975273791*a1^30 + 15783904153743931751979743048426645713226024/43299557505812608642127324159129260658424597*a1^29 - 12840751038658628924677979616252887323231924/14433185835270869547375774719709753552808199*a1^28 - 348502502605368386150788414321920950598539285/43299557505812608642127324159129260658424597*a1^27 + 2554655298488908201998720926277036795601511323/129898672517437825926381972477387781975273791*a1^26 + 13593740407953540162903028911140577880439566280/129898672517437825926381972477387781975273791*a1^25 - 11084877246860114266907637902307737554619695244/43299557505812608642127324159129260658424597*a1^24 - 115803750482275172926833809732753748328886711678/129898672517437825926381972477387781975273791*a1^23 + 94542255602979062205188919382723953480980764978/43299557505812608642127324159129260658424597*a1^22 + 680584373506038024065652701047650214609979398267/129898672517437825926381972477387781975273791*a1^21 - 185441016238982431782770655318555989460341356770/14433185835270869547375774719709753552808199*a1^20 - 943319410583361409299238237603846936028576422696/43299557505812608642127324159129260658424597*a1^19 + 6950449995215933843532581719371999561173425210130/129898672517437825926381972477387781975273791*a1^18 + 8398555939473694993943996038473372118602195963746/129898672517437825926381972477387781975273791*a1^17 - 6892396298667906542658572587778835517449665695174/43299557505812608642127324159129260658424597*a1^16 - 17702657815135331176778451207749223519228495391622/129898672517437825926381972477387781975273791*a1^15 + 43794751692383590285004897380157632521457878214238/129898672517437825926381972477387781975273791*a1^14 + 8661117880802518176998870831802426775979191194730/43299557505812608642127324159129260658424597*a1^13 - 21660212372907714525276051255480968643402224129510/43299557505812608642127324159129260658424597*a1^12 - 2831866952733104339882188419297498882923906967794/14433185835270869547375774719709753552808199*a1^11 + 65390351803930844379326723769330215262387361009142/129898672517437825926381972477387781975273791*a1^10 + 15414212021849981067117240232980653967790576555262/129898672517437825926381972477387781975273791*a1^9 - 42142292571114409038888888882275745996808608513398/129898672517437825926381972477387781975273791*a1^8 - 4797467941599280614177966052784425261466944289918/129898672517437825926381972477387781975273791*a1^7 + 15693912695705604401177461098407058257445146404211/129898672517437825926381972477387781975273791*a1^6 + 370164994518558540680057428906624526954488574798/129898672517437825926381972477387781975273791*a1^5 - 2762836233555288364550385371199489076196913354521/129898672517437825926381972477387781975273791*a1^4 + 84569877836460012207836518908116591195347822094/129898672517437825926381972477387781975273791*a1^3 + 151104398651229620543507538484533030872331879641/129898672517437825926381972477387781975273791*a1^2 - 5905156480330247194829941304881007224613313923/43299557505812608642127324159129260658424597*a1 + 194899180751749453867592062818400877172578636/129898672517437825926381972477387781975273791, 58188618545571803783568491802535971743794/14433185835270869547375774719709753552808199*a1^31 - 150809030163387102949436486303774817396025/14433185835270869547375774719709753552808199*a1^30 - 2908743622461582132032533875465966966120625/14433185835270869547375774719709753552808199*a1^29 + 7613734808747537463392476405332110771558146/14433185835270869547375774719709753552808199*a1^28 + 64851079040538263827567893739560431457158595/14433185835270869547375774719709753552808199*a1^27 - 171838941486615470119502826220417341753592642/14433185835270869547375774719709753552808199*a1^26 - 851180043391102972994609872056410377704186891/14433185835270869547375774719709753552808199*a1^25 + 2290372998908861355121467466046288358446241804/14433185835270869547375774719709753552808199*a1^24 + 7311031362595295424241943141393792456599531406/14433185835270869547375774719709753552808199*a1^23 - 20065379690898365985934403198790264858586308062/14433185835270869547375774719709753552808199*a1^22 - 43203191871830338376693319163187216412161779692/14433185835270869547375774719709753552808199*a1^21 + 121704917726230363950622481468631547942685859752/14433185835270869547375774719709753552808199*a1^20 + 179647732494511621902914609036789045428094436940/14433185835270869547375774719709753552808199*a1^19 - 524399006187229759319431415215463719076801354258/14433185835270869547375774719709753552808199*a1^18 - 527688864027386414753167496884947708054642896440/14433185835270869547375774719709753552808199*a1^17 + 1620526261587613183106183638818071402666516942418/14433185835270869547375774719709753552808199*a1^16 + 1079406501742729187622691485077880419931530606368/14433185835270869547375774719709753552808199*a1^15 - 3580248531144014149610377382226252730463795151834/14433185835270869547375774719709753552808199*a1^14 - 1476206044355491328161360300084324333594534045700/14433185835270869547375774719709753552808199*a1^13 + 5565424551719405882015105807876250550787729328864/14433185835270869547375774719709753552808199*a1^12 + 1220042714484278306911238280154010372743464151178/14433185835270869547375774719709753552808199*a1^11 - 5894641641658527574359458860919696782426810797298/14433185835270869547375774719709753552808199*a1^10 - 419068879191790244310347655996918440632703574954/14433185835270869547375774719709753552808199*a1^9 + 4018689891601996028050918497952786187834313619574/14433185835270869547375774719709753552808199*a1^8 - 163230945483384383105899067833994552576836712638/14433185835270869547375774719709753552808199*a1^7 - 1593001355939197687045579211433602912113388771652/14433185835270869547375774719709753552808199*a1^6 + 186798245694394889422014678832781536591135889121/14433185835270869547375774719709753552808199*a1^5 + 301945186373200029474626170062396086904616833265/14433185835270869547375774719709753552808199*a1^4 - 45686249262088033908799832792839381045905611754/14433185835270869547375774719709753552808199*a1^3 - 18649648269447185709368819151428703485947561747/14433185835270869547375774719709753552808199*a1^2 + 3618204397832418418978272388912261486034041752/14433185835270869547375774719709753552808199*a1 - 30062768838039479865214492062959417627446229/14433185835270869547375774719709753552808199)"	"x^32 - 3*x^31 - 49*x^30 + 150*x^29 + 1068*x^28 - 3349*x^27 - 13663*x^26 + 44102*x^25 + 114017*x^24 - 381227*x^23 - 652363*x^22 + 2278423*x^21 + 2617329*x^20 - 9659993*x^19 - 7391907*x^18 + 29333039*x^17 + 14485613*x^16 - 63589225*x^15 - 18892591*x^14 + 96842403*x^13 + 14744217*x^12 - 100301909*x^11 - 4507611*x^10 + 66698107*x^9 - 2210691*x^8 - 25684834*x^7 + 2153748*x^6 + 4689118*x^5 - 470371*x^4 - 268239*x^3 + 38414*x^2 - 242*x - 7"	
"Highest Conductor for norm 7"	"Conductor 118590"	"118590d1"	118590	335	7	8	"(a1, -a1, -1, -2, a1, -2)"	"x^2 - 2"	
