320 16*a-8 ['?', 2, '?', 10, -4, -4, 4, 4, -2, -2, 0, 0, 2, 2, 12, 12, -10, -10, 8, 8, -16, -16, -6, -6]
320 16*a-8 ['?', -2, '?', -10, 0, 0, -4, -4, 6, 6, -4, -4, 6, 6, 12, 12, 2, 2, -12, -12, 8, 8, -6, -6]
341 4*a+17 [-3, 2, -2, 2, '?', '?', 4, -4, -2, -2, '?', '?', -6, -6, 12, -4, 6, -2, -8, 0, 0, 16, 10, -6]
341 -4*a+21 [-3, 2, -2, 2, '?', '?', -4, 4, -2, -2, '?', '?', -6, -6, -4, 12, -2, 6, 0, -8, 16, 0, -6, 10]
356 2*a+18 ['?', 4, 0, -4, 0, -6, 2, -4, 6, 6, -4, -4, 6, 0, 0, 12, -4, 14, 12, 0, 2, -16, '?', '?']
356 2*a-20 ['?', 4, 0, -4, -6, 0, -4, 2, 6, 6, -4, -4, 0, 6, 12, 0, 14, -4, 0, 12, -16, 2, '?', '?']
369 3*a-21 [-2, '?', -1, -6, 5, -2, -1, 6, 9, 2, 4, -10, '?', '?', 4, -3, -8, 6, 9, -12, -4, -11, -8, -1]
369 3*a+18 [-2, '?', -1, -6, -2, 5, 6, -1, 2, 9, -10, 4, '?', '?', -3, 4, 6, -8, -12, 9, -11, -4, -1, -8]
380 -4*a-18 ['?', 1, '?', -4, -6, 3, '?', '?', -6, 3, 5, 5, 6, 6, 6, -12, 8, 8, -9, 0, -1, -1, 9, 0]
380 4*a-22 ['?', 1, '?', -4, 3, -6, '?', '?', 3, -6, 5, 5, 6, 6, -12, 6, 8, 8, 0, -9, -1, -1, 0, 9]
380 -4*a-18 ['?', 2, '?', 0, 2, 4, '?', '?', 4, -2, 4, 0, -12, 2, -4, 0, -2, 6, 0, -8, -6, -16, 6, -14]
380 -4*a-18 ['?', -5, '?', 0, 2, -3, '?', '?', -10, 5, -3, 7, 2, 2, 10, 0, 12, -8, 7, -8, 15, 5, -15, 0]
380 -4*a-18 ['?', -2, '?', 2, 0, 0, '?', '?', 6, -6, 8, -4, -6, -6, 12, 12, 14, -10, 0, 12, 8, -16, -6, 6]
380 4*a-22 ['?', -5, '?', 0, -3, 2, '?', '?', 5, -10, 7, -3, 2, 2, 0, 10, -8, 12, -8, 7, 5, 15, 0, -15]
380 4*a-22 ['?', -2, '?', 2, 0, 0, '?', '?', -6, 6, -4, 8, -6, -6, 12, 12, -10, 14, 12, 0, -16, 8, 6, -6]
380 4*a-22 ['?', 2, '?', 0, 4, 2, '?', '?', -2, 4, 0, 4, 2, -12, 0, -4, 6, -2, -8, 0, -16, -6, -14, 6]
395 2*a+19 [1, 4, '?', 4, 2, -2, 0, 0, 6, -4, -4, 0, -6, 2, 4, 12, -10, -14, -6, 4, '?', '?', 0, 0]
395 2*a+19 [1, -2, '?', -2, -4, 0, 8, 4, -2, 6, 0, -8, -2, 2, 4, -4, 10, 14, 12, -16, '?', '?', 18, -14]
395 -2*a+21 [1, -2, '?', -2, 0, -4, 4, 8, 6, -2, -8, 0, 2, -2, -4, 4, 14, 10, -16, 12, '?', '?', -14, 18]
395 -2*a+21 [1, 4, '?', 4, -2, 2, 0, 0, -4, 6, 0, -4, 2, -6, 12, 4, -14, -10, 4, -6, '?', '?', 0, 0]
396 18*a-6 ['?', '?', 3, 11, '?', '?', -1, -1, 0, -9, 5, -10, 9, -6, 9, -12, -1, 8, 3, 12, 14, -10, -6, 9]
396 18*a-12 ['?', '?', 3, 11, '?', '?', -1, -1, -9, 0, -10, 5, -6, 9, -12, 9, 8, -1, 12, 3, -10, 14, 9, -6]
396 18*a-12 ['?', '?', -4, 10, '?', '?', 0, 0, 0, 0, -8, -8, 2, 2, -10, -10, 2, 2, 12, 12, 0, 0, 10, 10]
396 18*a-6 ['?', '?', -4, 10, '?', '?', 0, 0, 0, 0, -8, -8, 2, 2, -10, -10, 2, 2, 12, 12, 0, 0, 10, 10]
396 18*a-12 ['?', '?', 3, -11, '?', '?', -7, 7, -7, 0, 6, -1, 2, -5, 4, 11, -12, -5, 12, 5, -14, -14, -11, 10]
396 18*a-6 ['?', '?', 3, -11, '?', '?', 7, -7, 0, -7, -1, 6, -5, 2, 11, 4, -5, -12, 5, 12, -14, -14, 10, -11]
396 18*a-12 ['?', '?', -2, 2, '?', '?', -4, 4, -2, 6, 8, -8, 2, -6, 12, 12, -2, -2, -8, 8, 8, 16, -14, 2]
396 18*a-6 ['?', '?', -2, 2, '?', '?', 4, -4, 6, -2, -8, 8, -6, 2, 12, 12, -2, -2, 8, -8, 16, 8, 2, -14]
404 18*a-10 ['?', 0, 1, -10, -3, 2, 5, -5, 5, 0, 7, -8, -3, -8, 10, 0, -8, -3, 12, 2, 0, 10, -15, 0]
404 18*a-10 ['?', 4, 2, -4, -2, -1, -2, 0, 0, 3, -1, 5, -1, -6, -9, 14, 7, -10, -4, -8, -10, -8, 17, 0]
404 18*a-8 ['?', 4, 2, -4, -1, -2, 0, -2, 3, 0, 5, -1, -6, -1, 14, -9, -10, 7, -8, -4, -8, -10, 0, 17]
