Data for fields of degree 3, prime conductor < 10000 with curve 42a1
Curve label          ZZ(#Sha(E/K))        #Sha(E/K)            ell_chi              Field conductor      Field degree        
42a1                 49                   49.0000              3136.0000            1753                 3
42a1                 9                    9.0000               36.0000              1759                 3
42a1                 121                  121.0000             7744.0000            1777                 3
42a1                 1                    1.0000               4.0000               1783                 3
42a1                 1                    1.0000               64.0000              1789                 3
42a1                 100                  100.0000             6400.0000            1801                 3
42a1                 49                   49.0000              3136.0000            1831                 3
42a1                 9                    9.0000               36.0000              1861                 3
42a1                 1                    1.0000               4.0000               1867                 3
42a1                 49                   49.0000              49.0000              1873                 3
42a1                 144                  144.0000             576.0000             1879                 3
42a1                 0                    0.0000               0.0000               1933                 3
42a1                 1296                 1296.0000            1296.0000            1951                 3
42a1                 289                  289.0000             289.0000             1987                 3
42a1                 289                  289.0000             289.0000             1993                 3
42a1                 100                  100.0000             6400.0000            1999                 3
42a1                 1521                 1521.0000            1521.0000            2011                 3
42a1                 81                   81.0000              5184.0000            2017                 3
42a1                 0                    -0.0000              -0.0000              2029                 3
42a1                 324                  324.0000             324.0000             2053                 3
42a1                 225                  225.0000             225.0000             2083                 3
42a1                 36                   36.0000              2304.0000            2089                 3
42a1                 81                   81.0000              5184.0000            2113                 3
42a1                 576                  576.0000             2304.0000            2131                 3
42a1                 256                  256.0000             256.0000             2137                 3
42a1                 25                   25.0000              1600.0000            2143                 3
42a1                 81                   81.0000              81.0000              2161                 3
42a1                 0                    -0.0000              -0.0000              2179                 3
42a1                 64                   64.0000              16384.0000           2203                 3
42a1                 81                   81.0000              324.0000             2221                 3
42a1                 64                   64.0000              64.0000              2239                 3
42a1                 1                    1.0000               256.0000             2251                 3
42a1                 121                  121.0000             484.0000             2269                 3
42a1                 9                    9.0000               576.0000             2281                 3
42a1                 4                    4.0000               1024.0000            2287                 3
42a1                 81                   81.0000              81.0000              2293                 3
42a1                 256                  256.0000             256.0000             2311                 3
42a1                 0                    -0.0000              -0.0000              2341                 3
42a1                 9                    9.0000               576.0000             2347                 3
42a1                 1521                 1521.0000            1521.0000            2371                 3
42a1                 225                  225.0000             225.0000             2377                 3
42a1                 1                    1.0000               256.0000             2383                 3
42a1                 1                    1.0000               4.0000               2389                 3
42a1                 361                  361.0000             361.0000             2437                 3
42a1                 1                    1.0000               1.0000               2467                 3
42a1                 2025                 2025.0000            2025.0000            2473                 3
42a1                 3721                 3721.0000            3721.0000            2503                 3
42a1                 1                    1.0000               1.0000               2521                 3
42a1                 289                  289.0000             289.0000             2539                 3
42a1                 784                  784.0000             784.0000             2551                 3
42a1                 841                  841.0000             841.0000             2557                 3
42a1                 1849                 1849.0000            1849.0000            2593                 3
42a1                 144                  144.0000             576.0000             2617                 3
42a1                 961                  961.0000             961.0000             2647                 3
42a1                 25                   25.0000              25.0000              2659                 3
42a1                 36                   36.0000              9216.0000            2671                 3
42a1                 289                  289.0000             289.0000             2677                 3
42a1                 484                  484.0000             484.0000             2683                 3
42a1                 144                  144.0000             9216.0000            2689                 3
42a1                 9                    9.0000               9.0000               2707                 3
42a1                 1                    1.0000               4.0000               2713                 3
42a1                 361                  361.0000             361.0000             2719                 3
42a1                 196                  196.0000             12544.0000           2731                 3
42a1                 9                    9.0000               576.0000             2749                 3
42a1                 1                    1.0000               64.0000              2767                 3
42a1                 36                   36.0000              2304.0000            2791                 3
42a1                 16                   16.0000              16.0000              2797                 3
42a1                 144                  144.0000             576.0000             2803                 3
42a1                 1                    1.0000               64.0000              2833                 3
42a1                 1                    1.0000               4.0000               2851                 3
42a1                 9                    9.0000               9.0000               2857                 3
42a1                 16                   16.0000              16.0000              2887                 3
42a1                 324                  324.0000             20736.0000           2917                 3
42a1                 9                    9.0000               576.0000             2953                 3
42a1                 49                   49.0000              12544.0000           2971                 3
42a1                 4                    4.0000               16.0000              3001                 3
42a1                 144                  144.0000             576.0000             3019                 3
