Data for fields of degree 3 of conductor < 10000 with curves having conductor between 11 and 11
Curve label          ZZ(#Sha(E/K))        #Sha(E/K)            ell_chi              Field conductor      Field degree        
11a1                 2025                 2025.0000            2025.0000            1669                 3
11a1                 5929                 5929.0000            148225.0000          1693                 3
11a1                 625                  625.0000             625.0000             1699                 3
11a1                 225                  225.0000             225.0000             1723                 3
11a1                 44100                44100.0000           44100.0000           1741                 3
11a1                 1369                 1369.0000            34225.0000           1747                 3
11a1                 10000                10000.0000           10000.0000           1753                 3
11a1                 18225                18225.0000           18225.0000           1759                 3
11a1                 225                  225.0000             225.0000             1777                 3
11a1                 900                  900.0000             900.0000             1783                 3
11a1                 121                  121.0000             3025.0000            1789                 3
11a1                 400                  400.0000             400.0000             1801                 3
11a1                 225                  225.0000             225.0000             1831                 3
11a1                 44100                44100.0000           44100.0000           1861                 3
11a1                 25                   25.0000              25.0000              1867                 3
11a1                 676                  676.0000             16900.0000           1873                 3
11a1                 1225                 1225.0000            1225.0000            1879                 3
11a1                 49                   49.0000              1225.0000            1933                 3
11a1                 6400                 6400.0000            6400.0000            1951                 3
11a1                 44100                44100.0000           44100.0000           1987                 3
11a1                 1444                 1444.0000            36100.0000           1993                 3
11a1                 625                  625.0000             625.0000             1999                 3
11a1                 81225                81225.0000           81225.0000           2011                 3
11a1                 1225                 1225.0000            1225.0000            2017                 3
11a1                 1                    1.0000               25.0000              2029                 3
11a1                 121                  121.0000             3025.0000            2053                 3
11a1                 0                    -0.0000              -0.0000              2083                 3
11a1                 225                  225.0000             225.0000             2089                 3
11a1                 400                  400.0000             400.0000             2113                 3
11a1                 4225                 4225.0000            4225.0000            2131                 3
11a1                 13225                13225.0000           13225.0000           2137                 3
11a1                 225                  225.0000             225.0000             2143                 3
11a1                 14400                14400.0000           14400.0000           2161                 3
11a1                 1                    1.0000               25.0000              2179                 3
11a1                 225                  225.0000             225.0000             2203                 3
11a1                 25                   25.0000              25.0000              2221                 3
11a1                 32400                32400.0000           32400.0000           2239                 3
11a1                 16                   16.0000              400.0000             2251                 3
11a1                 4225                 4225.0000            4225.0000            2269                 3
11a1                 400                  400.0000             400.0000             2281                 3
11a1                 0                    -0.0000              -0.0000              2287                 3
11a1                 2025                 2025.0000            2025.0000            2293                 3
11a1                 27225                27225.0000           27225.0000           2311                 3
11a1                 25                   25.0000              25.0000              2341                 3
11a1                 0                    -0.0000              -0.0000              2347                 3
11a1                 38025                38025.0000           38025.0000           2371                 3
11a1                 3481                 3481.0000            87025.0000           2377                 3
11a1                 1                    1.0000               25.0000              2383                 3
11a1                 28900                28900.0000           28900.0000           2389                 3
11a1                 1296                 1296.0000            32400.0000           2437                 3
11a1                 64                   64.0000              1600.0000            2467                 3
11a1                 87025                87025.0000           87025.0000           2473                 3
11a1                 900                  900.0000             900.0000             2503                 3
11a1                 7921                 7921.0000            198025.0000          2521                 3
11a1                 2401                 2401.0000            60025.0000           2539                 3
11a1                 7225                 7225.0000            7225.0000            2551                 3
11a1                 42025                42025.0000           42025.0000           2557                 3
11a1                 5625                 5625.0000            5625.0000            2593                 3
11a1                 121                  121.0000             3025.0000            2617                 3
11a1                 57600                57600.0000           57600.0000           2647                 3
11a1                 784                  784.0000             19600.0000           2659                 3
11a1                 16                   16.0000              400.0000             2671                 3
11a1                 22500                22500.0000           22500.0000           2677                 3
11a1                 900                  900.0000             900.0000             2683                 3
11a1                 3600                 3600.0000            3600.0000            2689                 3
11a1                 1024                 1024.0000            25600.0000           2707                 3
11a1                 15625                15625.0000           15625.0000           2713                 3
11a1                 2916                 2916.0000            72900.0000           2719                 3
11a1                 3025                 3025.0000            3025.0000            2731                 3
11a1                 9                    9.0000               225.0000             2749                 3
11a1                 1                    1.0000               25.0000              2767                 3
11a1                 16                   16.0000              400.0000             2791                 3
11a1                 4624                 4624.0000            115600.0000          2797                 3
11a1                 14400                14400.0000           14400.0000           2803                 3
11a1                 4                    4.0000               100.0000             2833                 3
11a1                 22500                22500.0000           22500.0000           2851                 3
11a1                 27225                27225.0000           27225.0000           2857                 3
11a1                 2209                 2209.0000            55225.0000           2887                 3
11a1                 400                  400.0000             400.0000             2917                 3
11a1                 625                  625.0000             625.0000             2953                 3
11a1                 25                   25.0000              25.0000              2971                 3
11a1                 1                    1.0000               25.0000              3001                 3
11a1                 25                   25.0000              25.0000              3019                 3
11a1                 1225                 1225.0000            1225.0000            3037                 3
11a1                 5625                 5625.0000            5625.0000            3049                 3
11a1                 400                  400.0000             400.0000             3061                 3
11a1                 4900                 4900.0000            4900.0000            3067                 3
11a1                 6400                 6400.0000            6400.0000            3079                 3
11a1                 3600                 3600.0000            3600.0000            3109                 3
11a1                 270400               270400.0000          270400.0000          3121                 3
11a1                 100                  100.0000             100.0000             3163                 3
11a1                 1024                 1024.0000            25600.0000           3169                 3
11a1                 225                  225.0000             225.0000             3181                 3
11a1                 289                  289.0000             7225.0000            3187                 3
11a1                 5625                 5625.0000            5625.0000            3217                 3
11a1                 4225                 4225.0000            4225.0000            3229                 3
11a1                 3600                 3600.0000            3600.0000            3253                 3
